# Community catalog for Cursors: cursor sets on rw-designer.com, most downloaded first.
# Generated by tools/update-catalog.ps1 on 2026-09-15 from 11552 sets. It lists names and links only;
# the app downloads a set from rw-designer.com when it is clicked. Each set is licensed by its author, as shown on its page.
slug	name	author	downloads	license	cursors	roles	animated	toprated	arrow	link	text	busy
chroma	Chroma	eeveelover64	1043643	Custom (contact author)	15	15	14	1	134643	134656	134648	134646
minecraft-diamond-edition	Minecraft - Diamond Edition	NesManiac	583226	Release to Public Domain	15	15	15	0	24907	24921	24912	24910
electric-1	Electric pack	Coolio44YT	331475	Release to Public Domain	3	2	3	0	157737	157739	157737	
pokemon-lightning	Pikachu Cute	HusenPo	249734	Attribution+NonCommercial (CC by-nc)	16	15	16	1	55501	55498	55502	55493
hello-kitty	Hello Kitty	15pets+	188942	Release to Public Domain	15	15	3	1	66718	66732	66723	66721
never-lost-rainbow	Never-Lost Rainbow	Kelinmiriel	158579	Attribution Required (CC by)	25	9	25	0	2937	2955	2942	2939
glow	Glow	Shira	155886	Attribution Required (CC by)	8	3	6	0	7140	7142		7138
tron-2-cursors-blue	TRON II	JDDellGuy	147459	Release to Public Domain	45	15	45	1	21723	21737	21728	21726
highlighted	Highlight Set	rev3626	136431	Release to Public Domain	7	0	0	1	141987			
small-minecraft	Small Minecraft	TheChosenOne	136020	Release to Public Domain	3	0	3	1	62888			
hello-kitty-3	hello kitty cute pink heart	goat	132564	NonCommercial Usage Only (CC nc)	15	15	7	1	138478	138476	138480	138470
runescape	RuneScape	Iron Angel	130981	Attribution Required (CC by)	9	0	0	0	133			
paper-plane	Paper Plane	glitchy	126992	Attribution Required (CC by)	15	14	13	0	1753	1751	1755	1745
animated-minecraft	Animated Minecraft Ver.1.1.6	Tops620	124903	Release to Public Domain	46	10	32	1	69125	69498	69668	69497
obsidian-8jan2016	Obsidian	truth14ful	101636	Release to Public Domain	15	15	4	1	82668	82667	82666	82670
delta-neon-purple	Delta Neon Purple	RIDDLER	95619	Custom (contact author)	19	15	2	1	155325	155343	155334	155331
skyrim	Skyrim	Sirea	91241	Attribution Required (CC by)	15	15	8	1	30682	30696	30687	30685
lightning-plasma	Lightning Plasma	Censor_Not	90417	Release to Public Domain	20	15	20	1	103989	103987	103995	103984
old-roblox	Old Roblox	4W2	90041	Release to Public Domain	12	12	2	0	134299	134310		134302
wii-cursor-by-stefano-tinaglia	Nintendo Wii	stefanotinaglia99	88878	Custom (contact author)	15	4	2	0	23165			
cyan-neon	CYAN NEON	juanello	85890	Release to Public Domain	9	8	1	1	66158	66166		66210
minecraft-cur-s	MineCraft	Neo-TheDragon	78723	Release to Public Domain	21	15	7	0	30264	30249	30250	30243
flameing-pointerssss	Flaming Pointers	dunkan3000	77684	Attribution Required (CC by)	11	2	11	1	5196			
runescape-items	Runescape Items	wronger	76309	Attribution Required (CC by)	99	2	1	0	1040			
internal-combustion-animated-	Internal Combustion (Animated Fire)	Censor_Not	76170	Release to Public Domain	22	15	22	1	104286	104284	104292	104281
rgbneonglassmd	RGB Rainbow Chroma Neon Glass	ツ☪ NaLexnu ♡♥	75582	Attribution+NonCommercial (CC by-nc)	47	17	46	1	169040	169037	169048	169030
delta-neon-blue	Delta Neon Blue	RIDDLER	74767	Custom (contact author)	19	15	2	1	155305	155323	155314	155311
turquoise	Turquoise	FerrariMan	73583	Attribution Required (CC by)	15	0	0	0	1675			
windows-7-aero-1	Windows 7 Aero	RainyForrest	73307	Release to Public Domain	13	13	2	1	135794	135798		135795
hollow-knight	Hollow Knight	Newty	69802	Release to Public Domain	15	15	2	1	228788	228789	228794	228795
son-goku	Dragonball Adventure	HusenPo	68487	Release to Public Domain	15	15	15	1	54747	54745	54749	54739
original	Aero Black	Mabzev	65146	Attribution Required (CC by)	15	15	2	1	121707	121721	121712	121710
minecraft-tools	Minecraft Tools	NesManiac	64281	Release to Public Domain	4	0	0	0	24922			
small-windows-10	Small Windows 10	Lihpe25	63297	Release to Public Domain	15	13	2	1	161801	161815	161806	161804
rainbow-18	Rainbow	RIDDLER	62837	Custom (contact author)	15	15	15	1	116378	116392	116383	116381
kawaiikittymd	Kawaii Kitty Cat kitten	ツ☪ NaLexnu ♡♥	60832	Custom (contact author)	18	17	6	1	128573	128571	128574	128564
minecraftswords-mr-bs	Minecraft Swords	Mr.BS	59937	Release to Public Domain	4	0	2	0	29540			
aero-no-tail	Windows Aero No Tail	benjy2429	59099	Attribution Required (CC by)	16	15	2	1	6921	6925	6932	6922
delta-neon-black	Delta Neon Black	RIDDLER	57903	Custom (contact author)	19	15	0	1	155285	155303	155294	155291
minecraftvp	Minecraft - Diamond Full Edition Animated	ツ☪ NaLexnu ♡♥	55413	Attribution+NonCommercial (CC by-nc)	43	17	23	1	185049	185063	185045	185042
blueglass-vista	Blue-Glass for Vista	Vlasta	55277	Attribution Required (CC by)	16	15	4	1	64	232	97	66
kawaiicutehellokittymd	Kawaii Cute Hello Kitty	ツ☪ NaLexnu ♡♥	52005	Attribution+NonCommercial (CC by-nc)	39	17	13	1	166913	166910	166924	166929
diamond-cursors	MineCraft Survival Kit	lolsomeone1213345	50820	Release to Public Domain	9	1	0	1	24043			
red-neon	RED NEON	juanello	50675	Release to Public Domain	9	8	1	1	66154	66162		66213
kuromimdr	Kuromi R	ツ☪ NaLexnu ♡♥	50126	Attribution+NonCommercial (CC by-nc)	20	17	7	0	163848	163845	163851	163838
redglow	RedGlow	Shira	49524	Attribution Required (CC by)	8	3	4	0	7169	7167		7165
kawaiicatpawmd	Kawaii Kitty Cat kitten White Paw	ツ☪ NaLexnu ♡♥	47468	Attribution+NonCommercial (CC by-nc)	35	17	18	0	184823	184812	184826	184811
completepack-robloxcursors-by-ro	(COMPLETE PACK) Roblox	Romanek159	46913	Release to Public Domain	15	15	5	0	119078	119079	119081	119080
original-noxro-s-half	(Original) Noxro's (half)	G-Tanky	46758	Release to Public Domain	10	9	3	1	112689	112698	112695	112692
sonic-v64	Sonic the Hedgehog	Virum64	46290	Release to Public Domain	15	15	14	1	38921	38919	38923	38913
pinkiest-heart-cake-md	Kawaii Pink Heart Cheesecake	ツ☪ NaLexnu ♡♥	45130	Attribution+NonCommercial (CC by-nc)	27	17	22	1	92477	92473	92481	92487
windows-11-dark-theme	Windows 11 dark theme	AKGAMER	42347	Release to Public Domain	17	17	2	1	169712	169726	169717	169715
yodalighsaber	Yoda Lightsaber	PhilEvil	42219	Attribution Required (CC by)	5	4	0	0	1842	1841		
tiny	Tiny and normal	NINO16	41729	Custom (contact author)	3	1	0	1	27885			
revenge-red	Revenge Red	Shiminok	40952	Release to Public Domain	14	14	14	1	119545	119548	119550	119557
szubidub-s-glitch-pack	Glitch / TikTok animated	Szubidub	40382	Release to Public Domain	15	15	15	1	148007	148021	148012	148010
gamerflix	Gaming	ʄʟɨӼ	39761	Custom (contact author)	18	17	4	1	152637	152652	152643	152641
mini-mousepointer	Mini	5uperdyl	39116	Release to Public Domain	15	15	2	0	48194	48201	48206	48197
antialiased-classic	Smooth Classic	Vlasta	39063	Attribution Required (CC by)	18	15	4	0	39	86	80	55
neon-rainbow-animated	Neon Rainbow Animated	nibbler	38728	NonCommercial Usage Only (CC nc)	15	15	15	1	88227	88241	88232	88230
lightsabercs	Lightsaber	TCGM	38463	Attribution Required (CC by)	8	5	5	1	6982	6978		6983
mw7s	My Windows 7	sixλxis	38162	Attribution Required (CC by)	17	3	4	0	9000			
blazin	Blazin' Blue	Daniel W.	38013	Attribution Required (CC by)	15	15	2	1	11036	11038	22594	22592
night-diamond-bloody-red-version	Night Diamond Bloody Red Version	Shiminok	37612	Release to Public Domain	15	15	15	1	117659	117657	117661	117651
yoshi	Yoshi	nrox653	37573	Attribution Required (CC by)	16	15	5	1	8854	8852	8857	8846
maxxrbmd	Maxx Red and Black MD	ツ☪ NaLexnu ♡♥	36408	Attribution+NonCommercial (CC by-nc)	24	17	16	1	176106	176104	176108	176098
rubin-pink	Rubin Pink	RIDDLER	36351	Free Art (copyleft)	15	15	2	1	108553	108567	108558	110598
minecraft-4	Minecraft	Julien12150	36186	Release to Public Domain	15	15	2	1	65033	65034	65044	65040
doraemon-cute	Doraemon Cute	Ranxy	35935	Release to Public Domain	17	15	17	1	69399	69388	69401	69387
the-future-1	The Future	miauwicat	35928	Release to Public Domain	15	15	15	1	118468	118482	118473	118471
uldonutskawaiimd	Cute Kawaii Donuts	ツ☪ NaLexnu ♡♥	35611	Attribution+NonCommercial (CC by-nc)	22	17	5	1	121193	121205	121211	121199
plittlestar-mimidestino	Kawaii Cute Sweet Pink Little Star	ツ☪ NaLexnu ♡♥	35393	Attribution+NonCommercial (CC by-nc)	19	17	6	1	93968	93966	93971	93960
lightsabers	Light Sabers	logan	35342	Attribution Required (CC by)	10	0	0	0	1630			
rifle-scope	Sniper Scope	OSSagent	35049	Attribution Required (CC by)	6	5	6	0	2467	2469		2468
minecraft-grayscale	Minecraft Grayscale	eramsby1010	34921	Attribution+NonCommercial (CC by-nc)	15	15	4	0	204948	204962	204953	204951
mario-world-v64	Mario World (Custom)	Virum64	34698	Release to Public Domain	18	15	14	1	37237	37235	37239	37228
metal-arrow-red	Metal Arrow RED [Additional Ver.]	Omelet	34668	Release to Public Domain	3	2	3	0	39736			
robocop	RoboCop	Sirea	34464	Attribution Required (CC by)	15	15	13	1	65339	65341	65348	65343
mario-gant	Mario Gant	nibbler	34317	NonCommercial Usage Only (CC nc)	15	15	2	1	85612	85626	85617	85615
black-aero-zaqovt	Windows Aero Black And Red	zaqovt	34252	Attribution Required (CC by)	3	3	2	0	10838			10840
flashy-colorful-rainbows	Flashing Rainbows	MarioMan94	33953	Attribution Required (CC by)	14	14	14	0	3386		3397	3389
glowing-rgb	Glowing RGB	inactive account	33632	Release to Public Domain	15	15	7	1	160140	160154	160145	160143
delta-neon-red	Delta Neon Red	RIDDLER	33238	Custom (contact author)	17	15	0	1	153892	153908	153899	153897
fortnite-1	fortnite	yorkie	33130	Release to Public Domain	4	1	0	0	116887			
classic-1	Original Classic Win2000/XP	TaglesMalsto	32731	Release to Public Domain	32	15	0	1	111506	111512	111498	111499
miku-hatsune-md	Miku Hatsune	ツ☪ NaLexnu ♡♥	32387	Custom (contact author)	18	17	10	1	99352	99350	99354	99344
apple-mac-osx	Apple MAC OSX	Nightcore7	32309	Release to Public Domain	5	5	2	0	30065	30066		30067
